Order_No,Restaurant_Latitude,Restaurant_Longitude,Destination_Latitude,Destination_Longitude,Price
59,28.4676808,-81.4510725,28.4882132,-81.443798,9.15
60,28.4676808,-81.4510725,28.4883859,-81.468806,5.67
61,28.448175,-81.487978,28.4883859,-81.468806,5.08
62,28.4676808,-81.4510725,28.4884418,-81.427224,5.63
63,28.4676808,-81.4510725,28.4885984,-81.46711,50.8
64,28.448175,-81.487978,28.4885984,-81.46711,6.33
65,28.4676808,-81.4510725,28.4886536,-81.431301,4.14
66,28.4676808,-81.4510725,28.4886981,-81.462994,23.76
67,28.4676808,-81.4510725,28.488898,-81.468812,127.2
68,28.448175,-81.487978,28.488898,-81.468812,37.17
69,28.4676808,-81.4510725,28.4890036,-81.46295,288
70,28.4676808,-81.4510725,28.4891435,-81.463463,76.55
71,28.4676808,-81.4510725,28.4893081,-81.461077,6.45
72,28.4676808,-81.4510725,28.4893985,-81.44113,78.3
73,28.4676808,-81.4510725,28.4894679,-81.441661,38.25
74,28.4676808,-81.4510725,28.4896583,-81.442495,167.91
75,28.4676808,-81.4510725,28.4898402,-81.443302,67.14
76,28.4676808,-81.4510725,28.4898792,-81.429861,21.3
77,28.4676808,-81.4510725,28.489916,-81.469512,8.42
78,28.448175,-81.487978,28.489916,-81.469512,3.35
79,28.4676808,-81.4510725,28.489922,-81.468983,77183.6
80,28.448175,-81.487978,28.489922,-81.468983,6.58
81,28.4676808,-81.4510725,28.4899234,-81.468452,183.21
82,28.4676808,-81.4510725,28.490154,-81.443572,27
83,28.4676808,-81.4510725,28.4901929,-81.457848,7.74
84,28.4676808,-81.4510725,28.490244,-81.46715,3.8
85,28.4676808,-81.4510725,28.490244,-81.46715,9.72
86,28.4676808,-81.4510725,28.490244,-81.46715,63.69
87,28.4676808,-81.4510725,28.4902541,-81.444232,143.07
88,28.4676808,-81.4510725,28.4902541,-81.444232,12.78
89,28.4676808,-81.4510725,28.4902583,-81.471717,9
90,28.448175,-81.487978,28.4902583,-81.471717,255
91,28.4676808,-81.4510725,28.4902673,-81.440536,21.95
92,28.4676808,-81.4510725,28.4902676,-81.468233,9.78
93,28.4676808,-81.4510725,28.4902676,-81.468233,244.8
94,28.4676808,-81.4510725,28.490268,-81.468497,14.11
95,28.4676808,-81.4510725,28.490268,-81.468497,21.95
96,28.4676808,-81.4510725,28.4902683,-81.467968,35.4
97,28.4676808,-81.4510725,28.4902683,-81.467968,70.84
98,28.4676808,-81.4510725,28.4902689,-81.467704,26.08
99,28.4676808,-81.4510725,28.4902689,-81.467704,590
100,28.4676808,-81.4510725,28.4902698,-81.468762,260.04
101,28.4676808,-81.4510725,28.4902698,-81.468762,290
102,28.4676808,-81.4510725,28.490273,-81.469027,75.3
103,28.4676808,-81.4510725,28.490273,-81.469027,0.84
104,28.4676808,-81.4510725,28.4902756,-81.469556,75
105,28.4676808,-81.4510725,28.4902756,-81.469556,6.96
106,28.4676808,-81.4510725,28.490276,-81.469291,17.88
107,28.4676808,-81.4510725,28.490276,-81.469291,197.1
108,28.4676808,-81.4510725,28.4905801,-81.424453,26.81
109,28.4676808,-81.4510725,28.4905801,-81.424453,1.24
110,28.4676808,-81.4510725,28.490583,-81.424374,114.34
111,28.4676808,-81.4510725,28.4905838,-81.441823,125
112,28.4676808,-81.4510725,28.4905853,-81.424312,147.5
113,28.4676808,-81.4510725,28.4905896,-81.42421,83.4
114,28.4676808,-81.4510725,28.490681,-81.425065,113.4
115,28.4676808,-81.4510725,28.4907248,-81.425128,381.6
116,28.4676808,-81.4510725,28.4907591,-81.425176,51.04
117,28.4676808,-81.4510725,28.4907934,-81.425225,25.2
118,28.4676808,-81.4510725,28.4908277,-81.425273,109.46
119,28.4676808,-81.4510725,28.490871,-81.425336,7.64
120,28.4676808,-81.4510725,28.490871,-81.425336,0.6
121,28.4676808,-81.4510725,28.4911353,-81.452255,8.75
122,28.4676808,-81.4510725,28.4912358,-81.471344,261.04
123,28.4676808,-81.4510725,28.4912761,-81.425156,71.4
124,28.4676808,-81.4510725,28.4912761,-81.425156,82.8
125,28.4676808,-81.4510725,28.4912844,-81.425608,24.6
126,28.4676808,-81.4510725,28.4913441,-81.468063,33.9
127,28.4676808,-81.4510725,28.4913463,-81.425157,63.08
128,28.4676808,-81.4510725,28.4913545,-81.425609,90.36
129,28.4676808,-81.4510725,28.4913568,-81.471973,84
130,28.4676808,-81.4510725,28.4914013,-81.425157,6.96
131,28.4676808,-81.4510725,28.4914095,-81.425609,17.38
132,28.4676808,-81.4510725,28.4914174,-81.452902,33.12
133,28.4676808,-81.4510725,28.4914714,-81.425158,244.8
134,28.4676808,-81.4510725,28.4914796,-81.42561,20.8
135,28.4676808,-81.4510725,28.4915649,-81.425611,261.04
136,28.4676808,-81.4510725,28.4915863,-81.451984,12.9
137,28.4676808,-81.4510725,28.491635,-81.425611,71.04
138,28.4676808,-81.4510725,28.49169,-81.425612,54.72
139,28.4676808,-81.4510725,28.491745,-81.425612,16.92
140,28.4676808,-81.4510725,28.4917537,-81.452367,22.08
141,28.4676808,-81.4510725,28.4917717,-81.424411,120
142,28.4676808,-81.4510725,28.4917853,-81.46901,156.6
143,28.4676808,-81.4510725,28.4917863,-81.4743,9.3
144,28.4676808,-81.4510725,28.4918,-81.425612,83.16
145,28.4676808,-81.4510725,28.491868,-81.426929,261.6
146,28.4676808,-81.4510725,28.4918701,-81.425613,10
147,28.4676808,-81.4510725,28.4918962,-81.453348,44.76
148,28.4676808,-81.4510725,28.4919918,-81.471369,165.6
149,28.4676808,-81.4510725,28.4919957,-81.424867,85.2
150,28.4676808,-81.4510725,28.4919957,-81.424867,152.4
151,28.4676808,-81.4510725,28.4920183,-81.474775,63.84
152,28.4676808,-81.4510725,28.492117,-81.452746,1.55
153,28.4676808,-81.4510725,28.4922817,-81.453387,3.1
154,28.4676808,-81.4510725,28.4925314,-81.452807,5.7
155,28.4676808,-81.4510725,28.4925647,-81.451298,23.4
156,28.4676808,-81.4510725,28.4927393,-81.425168,165.36
157,28.4676808,-81.4510725,28.4928,-81.452942,350.4
158,28.4676808,-81.4510725,28.4928095,-81.425168,72.15
159,28.4676808,-81.4510725,28.4928307,-81.45348,2013.71
160,28.4676808,-81.4510725,28.4928645,-81.425169,158.1
161,28.4676808,-81.4510725,28.4929195,-81.425169,9.62
162,28.4676808,-81.4510725,28.4929276,-81.453557,701.95
163,28.4676808,-81.4510725,28.4929745,-81.42517,9.77
164,28.4676808,-81.4510725,28.4930446,-81.42517,21.97
165,28.4676808,-81.4510725,28.4930446,-81.42517,84.7
166,28.4676808,-81.4510725,28.4932147,-81.409951,190.76
167,28.4676808,-81.4510725,28.4932157,-81.452941,5.1
168,28.4676808,-81.4510725,28.4932473,-81.453536,33.68
169,28.4676808,-81.4510725,28.4932966,-81.45423,59
170,28.4676808,-81.4510725,28.4932966,-81.45423,80.7
171,28.4676808,-81.4510725,28.4933196,-81.455233,305.28
172,28.4676808,-81.4510725,28.4933959,-81.458287,54.24
173,28.4676808,-81.4510725,28.4933959,-81.458287,2.94
174,28.4676808,-81.4510725,28.4934772,-81.45296,76.5
175,28.4676808,-81.4510725,28.4935179,-81.445109,836.14
176,28.4676808,-81.4510725,28.4935179,-81.445109,27.3
177,28.4676808,-81.4510725,28.4935386,-81.451097,35.42
178,28.4676808,-81.4510725,28.4935579,-81.438455,21.23
179,28.4676808,-81.4510725,28.493628,-81.451886,75.27
180,28.4676808,-81.4510725,28.4936922,-81.453925,83.16
181,28.4676808,-81.4510725,28.493702,-81.453599,31.98
182,28.4676808,-81.4510725,28.4937134,-81.4551,4921.5
183,28.4676808,-81.4510725,28.4937432,-81.413744,5.04
184,28.4676808,-81.4510725,28.4937631,-81.454399,81
185,28.4676808,-81.4510725,28.4939226,-81.453029,19.5
186,28.4676808,-81.4510725,28.4940697,-81.450693,40.68
187,28.4676808,-81.4510725,28.4940697,-81.450693,453.6
188,28.4676808,-81.4510725,28.4941101,-81.451361,166.8
189,28.4676808,-81.4510725,28.4941101,-81.451361,4.86
190,28.4676808,-81.4510725,28.4941604,-81.451765,221.52
191,28.4676808,-81.4510725,28.4941719,-81.445551,43.8
192,28.4676808,-81.4510725,28.494373,-81.45812,27.3
193,28.4676808,-81.4510725,28.494373,-81.45812,89.04
194,28.4676808,-81.4510725,28.4944773,-81.474263,34.47
195,28.4676808,-81.4510725,28.4944963,-81.445239,34.8
196,28.4676808,-81.4510725,28.4945,-81.4743,106.2
197,28.4676808,-81.4510725,28.494613,-81.440439,104.16
198,28.4676808,-81.4510725,28.4946987,-81.442756,146.56
199,28.4676808,-81.4510725,28.4947231,-81.452436,185
200,28.4676808,-81.4510725,28.4947278,-81.45825,12.39
201,28.4676808,-81.4510725,28.4948019,-81.44091,25.8
202,28.4676808,-81.4510725,28.4948584,-81.446538,20.65
203,28.4676808,-81.4510725,28.4950705,-81.455339,18.68
204,28.4676808,-81.4510725,28.4950992,-81.451875,5.1
205,28.4676808,-81.4510725,28.4951621,-81.446219,153.66
206,28.4676808,-81.4510725,28.4951621,-81.446219,20.08
207,28.4676808,-81.4510725,28.4952331,-81.450875,262.73
208,28.4676808,-81.4510725,28.495256,-81.473698,118.58
209,28.4676808,-81.4510725,28.4953567,-81.440616,240.69
210,28.4676808,-81.4510725,28.4953567,-81.440616,74
211,28.4676808,-81.4510725,28.4953567,-81.440616,28.91
212,28.4676808,-81.4510725,28.4954241,-81.435728,39.75
213,28.4676808,-81.4510725,28.4956035,-81.44752,106.25
214,28.4676808,-81.4510725,28.4956127,-81.436121,21.96
215,28.4676808,-81.4510725,28.4956127,-81.436121,8.5
216,28.4676808,-81.4510725,28.4956503,-81.451153,1.72
217,28.4676808,-81.4510725,28.4956503,-81.451153,68.16
218,28.4676808,-81.4510725,28.4957215,-81.452093,95.85
219,28.4676808,-81.4510725,28.4957215,-81.452093,242.55
220,28.4676808,-81.4510725,28.4957215,-81.452093,197.1
221,28.4676808,-81.4510725,28.4957261,-81.450755,11.55
222,28.4676808,-81.4510725,28.4958041,-81.449745,8.25
223,28.4676808,-81.4510725,28.4958215,-81.453897,23.85
224,28.4676808,-81.4510725,28.4958353,-81.438721,60.96
225,28.4676808,-81.4510725,28.4958361,-81.450215,107.38
226,28.4676808,-81.4510725,28.4959288,-81.449507,152.4
227,28.4676808,-81.4510725,28.4959782,-81.449981,4.5
228,28.4676808,-81.4510725,28.496001,-81.433026,35.7
229,28.4676808,-81.4510725,28.4960585,-81.452634,4.47
230,28.4676808,-81.4510725,28.4960681,-81.449262,154.28
231,28.4676808,-81.4510725,28.4960979,-81.439856,66
232,28.4676808,-81.4510725,28.4961157,-81.452259,69.75
233,28.4676808,-81.4510725,28.4961505,-81.458508,141.6
234,28.4676808,-81.4510725,28.4961629,-81.451946,145.14
235,28.4676808,-81.4510725,28.4961823,-81.440716,13.58
236,28.4676808,-81.4510725,28.4961942,-81.447323,69.6
237,28.4676808,-81.4510725,28.4962113,-81.451285,24.96
238,28.4676808,-81.4510725,28.4962303,-81.449482,70.92
239,28.4676808,-81.4510725,28.4962415,-81.440304,94.4
240,28.4676808,-81.4510725,28.4962514,-81.448946,79.6
241,28.4676808,-81.4510725,28.4963229,-81.439673,112.5
242,28.4676808,-81.4510725,28.4963756,-81.452232,327.66
243,28.4676808,-81.4510725,28.4963796,-81.449846,75.27
244,28.4676808,-81.4510725,28.4963978,-81.451988,2.08
245,28.4676808,-81.4510725,28.4964615,-81.451526,223.35
246,28.4676808,-81.4510725,28.4964636,-81.443106,974.05
247,28.4676808,-81.4510725,28.4964675,-81.449093,91.02
248,28.4676808,-81.4510725,28.4965057,-81.440144,149.22
249,28.4676808,-81.4510725,28.4965889,-81.449717,18.95
250,28.4676808,-81.4510725,28.4966051,-81.474579,126
251,28.4676808,-81.4510725,28.4966068,-81.450853,35.46
252,28.4676808,-81.4510725,28.496671,-81.444027,0.65
253,28.4676808,-81.4510725,28.4967502,-81.452778,116.71
254,28.4676808,-81.4510725,28.4967714,-81.451969,225
255,28.4676808,-81.4510725,28.4967828,-81.450679,8.91
256,28.4676808,-81.4510725,28.4968511,-81.449374,4.15
257,28.4676808,-81.4510725,28.4969546,-81.450508,71.1
258,28.4676808,-81.4510725,28.4969851,-81.452817,135
259,28.4676808,-81.4510725,28.49706,-81.450795,89.7
260,28.4676808,-81.4510725,28.4970843,-81.450947,34.5
261,28.4676808,-81.4510725,28.4971414,-81.451102,13.29
262,28.4676808,-81.4510725,28.497233,-81.449664,62.5
263,28.4676808,-81.4510725,28.4972891,-81.4502,6.25
264,28.4676808,-81.4510725,28.4973525,-81.450945,91.08
265,28.4676808,-81.4510725,28.4973854,-81.432031,120.48
266,28.4676808,-81.4510725,28.4973854,-81.432031,2353.68
267,28.4676808,-81.4510725,28.4974036,-81.450494,152.92
268,28.4676808,-81.4510725,28.4974036,-81.450494,147.35
269,28.4676808,-81.4510725,28.4974825,-81.45254,32.63
270,28.4676808,-81.4510725,28.4975146,-81.452907,94.78
271,28.4676808,-81.4510725,28.4975186,-81.450725,546.96
272,28.4676808,-81.4510725,28.4975287,-81.46252,15.5
273,28.4676808,-81.4510725,28.4975287,-81.46252,126.5
274,28.4676808,-81.4510725,28.4975992,-81.437775,11.48
275,28.4676808,-81.4510725,28.4977129,-81.452281,10.14
276,28.4676808,-81.4510725,28.4977227,-81.452527,118.8
277,28.4676808,-81.4510725,28.4977423,-81.451224,159.5
278,28.4676808,-81.4510725,28.4978315,-81.451498,179.1
279,28.4676808,-81.4510725,28.4980437,-81.444388,2978.4
280,28.4676808,-81.4510725,28.498079,-81.450532,26.55
281,28.4676808,-81.4510725,28.4980821,-81.461962,277.5
282,28.4676808,-81.4510725,28.4980821,-81.461962,12.35
283,28.4676808,-81.4510725,28.4980821,-81.461962,527.85
284,28.4676808,-81.4510725,28.4981677,-81.451774,47.28
285,28.4676808,-81.4510725,28.4981686,-81.4576,32.55
286,28.4676808,-81.4510725,28.4981697,-81.45804,5.8
287,28.4676808,-81.4510725,28.4981705,-81.457819,127.54
288,28.4676808,-81.4510725,28.4981733,-81.457378,8.15
289,28.4676808,-81.4510725,28.4982101,-81.452238,34.5
290,28.4676808,-81.4510725,28.4982141,-81.458409,30.51
291,28.4676808,-81.4510725,28.4982298,-81.452964,8.26
292,28.4676808,-81.4510725,28.498345,-81.450431,10.6
293,28.4676808,-81.4510725,28.4984079,-81.451677,34.72
294,28.4676808,-81.4510725,28.4984305,-81.456868,56.58
295,28.4676808,-81.4510725,28.4984442,-81.452225,41.76
296,28.4676808,-81.4510725,28.4984575,-81.452839,121.92
297,28.4676808,-81.4510725,28.4984827,-81.45135,610.56
298,28.4676808,-81.4510725,28.4985135,-81.452525,203.76
299,28.4676808,-81.4510725,28.498546,-81.450812,2.25
300,28.4676808,-81.4510725,28.4985469,-81.451924,419.4
301,28.4676808,-81.4510725,28.4986042,-81.478686,17.64
302,28.4676808,-81.4510725,28.4986067,-81.451067,17.9
303,28.4676808,-81.4510725,28.4986617,-81.457006,3.78
304,28.4676808,-81.4510725,28.4986639,-81.452213,324
305,28.4676808,-81.4510725,28.4986896,-81.452724,101.4
306,28.540432,-81.381077,28.4987459,-81.364807,88.16
307,28.540432,-81.381077,28.4987459,-81.364807,3.78
308,28.540432,-81.381077,28.4987501,-81.364446,82.9
309,28.4676808,-81.4510725,28.4987844,-81.4508,39.75
310,28.4676808,-81.4510725,28.4988701,-81.45107,121.86
311,28.4676808,-81.4510725,28.4989351,-81.451325,301.84
312,28.4676808,-81.4510725,28.4989492,-81.451825,12.8
313,28.4676808,-81.4510725,28.4991029,-81.452097,70.8
314,28.4676808,-81.4510725,28.4991692,-81.45173,24.75
315,28.540432,-81.381077,28.4992921,-81.361639,0.63
316,28.540432,-81.381077,28.4992956,-81.361328,4.62
317,28.540432,-81.381077,28.4996116,-81.364081,4.16
318,28.540432,-81.381077,28.4996534,-81.362233,91.08
319,28.543571,-81.351467,28.4996534,-81.362233,745
320,28.4676808,-81.4510725,28.4999473,-81.440771,13.5
321,28.4676808,-81.4510725,28.4999473,-81.440771,290
322,28.540432,-81.381077,28.5000272,-81.377957,300
323,28.4676808,-81.4510725,28.5000872,-81.432799,265
324,28.4676808,-81.4510725,28.5000872,-81.432799,72.42
325,28.4676808,-81.4510725,28.5000872,-81.432799,13.28
326,28.540432,-81.381077,28.5001009,-81.364785,4.73
327,28.543571,-81.351467,28.5001009,-81.364785,25.35
328,28.540432,-81.381077,28.5001089,-81.364101,100
329,28.543571,-81.351467,28.5001089,-81.364101,16.5
330,28.540432,-81.381077,28.5001129,-81.363758,18.75
331,28.543571,-81.351467,28.5001129,-81.363758,510.79
332,28.4676808,-81.4510725,28.5001673,-81.457065,144.5
333,28.540432,-81.381077,28.5004295,-81.37806,55.1
334,28.540432,-81.381077,28.5004295,-81.37806,374.68
335,28.540432,-81.381077,28.5004662,-81.364524,45
336,28.543571,-81.351467,28.5004662,-81.364524,27.3
337,28.540432,-81.381077,28.5005329,-81.361481,28.95
338,28.543571,-81.351467,28.5005329,-81.361481,2.9
339,28.4676808,-81.4510725,28.5005796,-81.42618,525.6
340,28.540432,-81.381077,28.5005865,-81.360179,110.11
341,28.543571,-81.351467,28.5005865,-81.360179,195.03
342,28.4676808,-81.4510725,28.5008737,-81.458253,20.34
343,28.540432,-81.381077,28.5009881,-81.364528,155.71
344,28.543571,-81.351467,28.5009881,-81.364528,21.58
345,28.540432,-81.381077,28.5010652,-81.362379,10.5
346,28.543571,-81.351467,28.5010652,-81.362379,101.88
347,28.540432,-81.381077,28.5013718,-81.365464,75.3
348,28.543571,-81.351467,28.5013718,-81.365464,907.47
349,28.540432,-81.381077,28.5013856,-81.363808,121.92
350,28.543571,-81.351467,28.5013856,-81.363808,28.26
351,28.540432,-81.381077,28.5014537,-81.361791,244.8
352,28.543571,-81.351467,28.5014537,-81.361791,42.67
353,28.540432,-81.381077,28.5014607,-81.361201,1.89
354,28.543571,-81.351467,28.5014607,-81.361201,86.4
355,28.4676808,-81.4510725,28.5017081,-81.458108,101.88
356,28.540432,-81.381077,28.5019047,-81.364552,271.2
357,28.543571,-81.351467,28.5019047,-81.364552,45
358,28.540432,-81.381077,28.5019546,-81.362972,11.85
359,28.543571,-81.351467,28.5019546,-81.362972,29.84
360,28.540432,-81.381077,28.5019584,-81.362656,38.18
361,28.543571,-81.351467,28.5019584,-81.362656,1.72
362,28.4676808,-81.4510725,28.5021644,-81.431315,34.04
363,28.4676808,-81.4510725,28.5021644,-81.431315,0.8
364,28.4676808,-81.4510725,28.5021644,-81.431315,11.88
365,28.540432,-81.381077,28.50227,-81.365603,7.25
366,28.543571,-81.351467,28.50227,-81.365603,167.04
367,28.540432,-81.381077,28.502272,-81.365945,107.38
368,28.543571,-81.351467,28.502272,-81.365945,25.44
369,28.540432,-81.381077,28.5023184,-81.363894,1.05
370,28.543571,-81.351467,28.5023184,-81.363894,17.22
371,28.540432,-81.381077,28.5023581,-81.360862,69.6
372,28.543571,-81.351467,28.5023581,-81.360862,17.85
373,28.540432,-81.381077,28.5023625,-81.360492,19.89
374,28.543571,-81.351467,28.5023625,-81.360492,36.19
375,28.540432,-81.381077,28.5024084,-81.360101,67.14
376,28.543571,-81.351467,28.5024084,-81.360101,21.3
377,28.540432,-81.381077,28.5025334,-81.367078,3.6
378,28.543571,-81.351467,28.5025334,-81.367078,306
379,28.540432,-81.381077,28.5027733,-81.366113,16.96
380,28.543571,-81.351467,28.5027733,-81.366113,167.91
381,28.4676808,-81.4510725,28.5027896,-81.458095,49.95
382,28.4676808,-81.4510725,28.5035125,-81.459751,6.63
383,28.4676808,-81.4510725,28.503548,-81.430008,22.41
384,28.540432,-81.381077,28.5035911,-81.377096,220
385,28.4676808,-81.4510725,28.5036629,-81.43789,360
386,28.4676808,-81.4510725,28.5036629,-81.43789,132
387,28.540432,-81.381077,28.5037208,-81.366678,149.76
388,28.543571,-81.351467,28.5037208,-81.366678,54
389,28.4676808,-81.4510725,28.5037234,-81.432934,29
390,28.4676808,-81.4510725,28.5037234,-81.432934,2.52
391,28.4676808,-81.4510725,28.5037234,-81.432934,7.38
392,28.4676808,-81.4510725,28.5040422,-81.441708,13.6
393,28.4676808,-81.4510725,28.5041132,-81.456361,35.8
394,28.4676808,-81.4510725,28.5041349,-81.478545,11.6
395,28.4676808,-81.4510725,28.5041349,-81.478545,11.61
396,28.540432,-81.381077,28.50452,-81.367783,154.28
397,28.543571,-81.351467,28.50452,-81.367783,558
398,28.540432,-81.381077,28.5045384,-81.367198,277.5
399,28.543571,-81.351467,28.5045384,-81.367198,12.74
400,28.4676808,-81.4510725,28.505,-81.424,25.41
401,28.4676808,-81.4510725,28.5052414,-81.452764,1298.4
402,28.4676808,-81.4510725,28.5053333,-81.432856,22.2
403,28.4676808,-81.4510725,28.5054504,-81.469609,13.28
404,28.4676808,-81.4510725,28.5055861,-81.467176,19.53
405,28.527592,-81.522987,28.5056261,-81.486162,22.04
406,28.4676808,-81.4510725,28.505642,-81.449468,254.43
407,28.4676808,-81.4510725,28.505642,-81.449468,33.85
408,28.4676808,-81.4510725,28.5058125,-81.428409,16.6
409,28.4676808,-81.4510725,28.5059579,-81.458319,7.95
410,28.540432,-81.381077,28.5059668,-81.365749,19.44
411,28.543571,-81.351467,28.5059668,-81.365749,55.8
412,28.527592,-81.522987,28.5061702,-81.485581,55.66
413,28.4676808,-81.4510725,28.5062307,-81.452907,57.5
414,28.4676808,-81.4510725,28.5063317,-81.440371,4.4
415,28.4676808,-81.4510725,28.5063317,-81.440371,65.4
416,28.4676808,-81.4510725,28.5064405,-81.431474,4.89
417,28.4676808,-81.4510725,28.5064405,-81.431474,14.62
418,28.4676808,-81.4510725,28.506482,-81.463868,37.4
419,28.527592,-81.522987,28.5065089,-81.486666,89.04
420,28.4676808,-81.4510725,28.5065219,-81.457216,30.36
421,28.527592,-81.522987,28.5065283,-81.486353,70.56
422,28.4676808,-81.4510725,28.50663,-81.427545,49.5
423,28.4676808,-81.4510725,28.5068261,-81.466803,4.95
424,28.4676808,-81.4510725,28.5069532,-81.461171,230.1
425,28.527592,-81.522987,28.507049,-81.486781,8.76
426,28.540432,-81.381077,28.50708,-81.384075,177.87
427,28.543571,-81.351467,28.5071588,-81.325207,61.5
428,28.543571,-81.351467,28.5071588,-81.325207,13.05
429,28.543571,-81.351467,28.5071947,-81.329775,153.11
430,28.543571,-81.351467,28.5072562,-81.328136,7.11
431,28.543571,-81.351467,28.5073177,-81.322458,25.52
432,28.543571,-81.351467,28.5073177,-81.322458,8.28
433,28.543571,-81.351467,28.5073263,-81.326124,91.08
434,28.543571,-81.351467,28.5073569,-81.322612,56
435,28.4676808,-81.4510725,28.507425,-81.440564,15.12
436,28.4676808,-81.4510725,28.5074334,-81.464773,7
437,28.543571,-81.351467,28.5075393,-81.324338,158.1
438,28.4676808,-81.4510725,28.5075456,-81.458366,10.2
439,28.4676808,-81.4510725,28.5076486,-81.474372,24.95
440,28.543571,-81.351467,28.5076657,-81.325099,266.4
441,28.543571,-81.351467,28.5076657,-81.325099,45
442,28.4676808,-81.4510725,28.5077068,-81.435893,17.04
443,28.4676808,-81.4510725,28.5077605,-81.431503,22.14
444,28.4676808,-81.4510725,28.5077721,-81.430562,28.95
445,28.4676808,-81.4510725,28.5077721,-81.430562,53
446,28.543571,-81.351467,28.507877,-81.326042,59.76
447,28.4676808,-81.4510725,28.5079254,-81.4349,107.25
448,28.540432,-81.381077,28.5079371,-81.384161,4.24
449,28.543571,-81.351467,28.507959,-81.322911,24.78
450,28.540432,-81.381077,28.5079867,-81.401695,13.58
451,28.540432,-81.381077,28.5079867,-81.401695,228.69
452,28.540432,-81.381077,28.5079867,-81.401695,91.8
453,28.4676808,-81.4510725,28.5080021,-81.463209,54.08
454,28.543571,-81.351467,28.5080685,-81.325855,116.3
455,28.543571,-81.351467,28.508077,-81.332701,382.5
456,28.543571,-81.351467,28.5081173,-81.323929,56.44
457,28.543571,-81.351467,28.5081298,-81.331516,125
458,28.543571,-81.351467,28.5081327,-81.33115,305.28
459,28.4676808,-81.4510725,28.508172,-81.462241,17.02
460,28.543571,-81.351467,28.5082158,-81.332759,49.92
